序号;片名;评分;导演;主演;一句话点评
1;肖申克的救赎;9.7;弗兰克·德拉邦特;蒂姆·罗宾斯;希望让人自由。
2;霸王别姬;9.6;陈凯歌;张国荣;风华绝代。
3;阿甘正传;9.5;罗伯特·泽米吉斯;汤姆·汉克斯;一部美国近现代史。
4;这个杀手不太冷;9.4;吕克·贝松;让·雷诺;怪蜀黍和小萝莉不得不说的故事。
5;美丽人生;9.5;罗伯托·贝尼尼;罗伯托·贝尼尼;最美的谎言。
6;泰坦尼克号;9.4;詹姆斯·卡梅隆;莱昂纳多·迪卡普里奥;失去的才是永恒的。 
7;千与千寻;9.4;宫崎骏;柊瑠美;最好的宫崎骏，最好的久石让。 
8;辛德勒的名单;9.5;史蒂文·斯皮尔伯格;连姆·尼森;拯救一个人，就是拯救整个世界。
9;盗梦空间;9.3;克里斯托弗·诺兰;莱昂纳多·迪卡普里奥;诺兰给了我们一场无法盗取的梦。
10;忠犬八公的故事;9.4;莱塞·霍尔斯道姆;理查·基尔;永远都不能忘记你所爱的人。
11;海上钢琴师;9.3;朱塞佩·托纳多雷;蒂姆·罗斯;每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12;楚门的世界;9.3;彼得·威尔;金·凯瑞;如果再也不能见到你，祝你早安，午安，晚安。
13;三傻大闹宝莱坞;9.2;拉库马·希拉尼;阿米尔·汗;英俊版憨豆，高情商版谢耳朵。
14;机器人总动员;9.3;安德鲁·斯坦顿;本·贝尔特;小瓦力，大人生。
15;放牛班的春天;9.3;克里斯托夫·巴拉蒂;热拉尔·朱尼奥;天籁一般的童声，是最接近上帝的存在。 
16;星际穿越;9.3;克里斯托弗·诺兰;马修·麦康纳;爱是一种力量，让我们超越时空感知它的存在。
17;大话西游之大圣娶亲;9.2;刘镇伟;周星驰;一生所爱。
18;熔炉;9.3;黄东赫;孔侑;我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19;疯狂动物城;9.2;拜伦·霍华德;;迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
20;无间道;9.2;刘伟强;刘德华;香港电影史上永不过时的杰作。
21;龙猫;9.2;宫崎骏;日高法子;人人心中都有个龙猫，童年就永远不会消失。
22;教父;9.3;弗朗西斯·福特·科波拉;马龙·白兰度;千万不要记恨你的对手，这样会让你失去理智。
23;当幸福来敲门;9.1;加布里尔·穆奇诺;威尔·史密斯;平民励志片。 
24;怦然心动;9.1;罗伯·莱纳;玛德琳·卡罗尔;真正的幸福是来自内心深处。
25;触不可及;9.2;奥利维·那卡什;;满满温情的高雅喜剧。
26;蝙蝠侠：黑暗骑士;9.2;克里斯托弗·诺兰;克里斯蒂安·贝尔;无尽的黑暗。
27;控方证人;9.6;比利·怀尔德;泰隆·鲍华;比利·怀德满分作品。
28;活着;9.2;张艺谋;葛优;张艺谋最好的电影。
29;乱世佳人;9.3;维克多·弗莱明;;Tomorrow is another day.
30;寻梦环游记;9.1;李·昂克里奇;;死亡不是真的逝去，遗忘才是永恒的消亡。
31;末代皇帝;9.2;贝纳尔多·贝托鲁奇;尊龙;“不要跟我比惨，我比你更惨”再适合这部电影不过了。
32;摔跤吧！爸爸;9.0;涅提·蒂瓦里;阿米尔·汗;你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
33;指环王3：王者无敌;9.2;彼得·杰克逊;伊利亚·伍德;史诗的终章。
34;何以为家;9.1;娜丁·拉巴基;扎因·拉费阿;凝视卑弱生命，用电影改变命运。
35;少年派的奇幻漂流;9.1;李安;苏拉·沙玛;瑰丽壮观、无人能及的冒险之旅。
36;飞屋环游记;9.0;彼特·道格特;;最后那些最无聊的事情，才是最值得怀念的。 
37;十二怒汉;9.4;Sidney;亨利·方达;1957年的理想主义。 
38;鬼子来了;9.2;姜文;姜文;对敌人的仁慈，就是对自己残忍。
39;天空之城;9.1;宫崎骏;田中真弓;对天空的追逐，永不停止。 
40;素媛;9.2;李濬益;薛景求;受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
41;哈尔的移动城堡;9.1;宫崎骏;倍赏千惠子;带着心爱的人在天空飞翔。
42;大话西游之月光宝盒;9.0;刘镇伟;周星驰;旷古烁今。
43;天堂电影院;9.2;朱塞佩·托纳多雷;安东内拉·阿蒂利;那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
44;罗马假日;9.0;威廉·惠勒;奥黛丽·赫本;爱情哪怕只有一天。
45;闻香识女人;9.1;马丁·布莱斯;阿尔·帕西诺;史上最美的探戈。
46;哈利·波特与魔法石;9.0;Chris;Daniel;童话世界的开端。
47;辩护人;9.2;杨宇硕;宋康昊;电影的现实意义大过电影本身。
48;我不是药神;9.0;文牧野;徐峥;对我们国家而言，这样的电影多一部是一部。
49;搏击俱乐部;9.0;大卫·芬奇;爱德华·诺顿;邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
50;死亡诗社;9.1;彼得·威尔;罗宾·威廉姆斯;当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
